OST:StopArea:0125317002,NSR:Quay:131
OST:StopArea:0128796003,NSR:Quay:132
OST:StopArea:0125449001,NSR:Quay:133
OST:StopArea:0125449002,NSR:Quay:134
OST:StopArea:0128721001,NSR:Quay:135
OST:StopArea:0128721002,NSR:Quay:136
OST:StopArea:0125804001,NSR:Quay:137
OST:StopArea:0125804002,NSR:Quay:138
OST:StopArea:0128435503,NSR:Quay:139
OST:StopArea:0128435504,NSR:Quay:140
OST:StopArea:0128435502,NSR:Quay:141
OST:StopArea:0128435501,NSR:Quay:142
OST:StopArea:0125444502,NSR:Quay:143
OST:StopArea:0125444501,NSR:Quay:144
OST:StopArea:0125446001,NSR:Quay:145
OST:StopArea:0125446002,NSR:Quay:146
OST:StopArea:0128437002,NSR:Quay:147
OST:StopArea:0128437001,NSR:Quay:148
OST:StopArea:0128718502,NSR:Quay:149
OST:StopArea:0128718501,NSR:Quay:150
OST:StopArea:0128722502,NSR:Quay:151
OST:StopArea:0128722501,NSR:Quay:152
OST:StopArea:0128791501,NSR:Quay:153
OST:StopArea:0128793001,NSR:Quay:154
OST:StopArea:0128799502,NSR:Quay:155
OST:StopArea:0128799501,NSR:Quay:156
OST:StopArea:0128724002,NSR:Quay:157
OST:StopArea:0128724001,NSR:Quay:158
OST:StopArea:0125807502,NSR:Quay:159
OST:StopArea:0125807501,NSR:Quay:160
OST:StopArea:0128441001,NSR:Quay:161
OST:StopArea:0128441002,NSR:Quay:162
OST:StopArea:0125804502,NSR:Quay:163
OST:StopArea:0125804501,NSR:Quay:164
OST:StopArea:0125447502,NSR:Quay:165
OST:StopArea:0125447501,NSR:Quay:166
OST:StopArea:0128715502,NSR:Quay:167
OST:StopArea:0128715501,NSR:Quay:168
OST:StopArea:0128717002,NSR:Quay:169
OST:StopArea:0128717001,NSR:Quay:170
OST:StopArea:0128790001,NSR:Quay:171
OST:StopArea:0128796501,NSR:Quay:172
OST:StopArea:0125806002,NSR:Quay:173
OST:StopArea:0125806001,NSR:Quay:174
OST:StopArea:0128798001,NSR:Quay:175
OST:StopArea:0128798002,NSR:Quay:176
OST:StopArea:0125801502,NSR:Quay:177
OST:StopArea:0125801501,NSR:Quay:178
OST:StopArea:0125780001,NSR:Quay:179
OST:StopArea:0125780002,NSR:Quay:180
OST:StopArea:0125314504,NSR:Quay:181
OST:StopArea:0125314502,NSR:Quay:182
OST:StopArea:0125446501,NSR:Quay:183
OST:StopArea:0125446502,NSR:Quay:184
OST:StopArea:0128437501,NSR:Quay:185
OST:StopArea:0128437502,NSR:Quay:186
OST:StopArea:0128714002,NSR:Quay:187
OST:StopArea:0128714001,NSR:Quay:188
OST:StopArea:0128793501,NSR:Quay:189
OST:StopArea:0128720502,NSR:Quay:190
OST:StopArea:0128720501,NSR:Quay:191
OST:StopArea:0125316002,NSR:Quay:192
OST:StopArea:0128722002,NSR:Quay:193
OST:StopArea:0128722001,NSR:Quay:194
OST:StopArea:0101713502,NSR:Quay:195
OST:StopArea:0101713501,NSR:Quay:196
OST:StopArea:0125443001,NSR:Quay:197
OST:StopArea:0125443002,NSR:Quay:198
OST:StopArea:0125449501,NSR:Quay:199
OST:StopArea:0125449502,NSR:Quay:200
OST:StopArea:0128717501,NSR:Quay:201
OST:StopArea:0128717502,NSR:Quay:202
OST:StopArea:0128798501,NSR:Quay:203
OST:StopArea:0128798504,NSR:Quay:204
OST:StopArea:0125808001,NSR:Quay:205
OST:StopArea:0125808002,NSR:Quay:206
OST:StopArea:0128719001,NSR:Quay:207
OST:StopArea:0128719002,NSR:Quay:208
OST:StopArea:0128792001,NSR:Quay:209
OST:StopArea:0128440502,NSR:Quay:210
OST:StopArea:0128440501,NSR:Quay:211
OST:StopArea:0125801601,NSR:Quay:212
OST:StopArea:0128723501,NSR:Quay:213
OST:StopArea:0128723502,NSR:Quay:214
OST:StopArea:0125806502,NSR:Quay:215
OST:StopArea:0125806501,NSR:Quay:216
OST:StopArea:0125442002,NSR:Quay:217
OST:StopArea:0125442001,NSR:Quay:218
OST:StopArea:0125316504,NSR:Quay:219
OST:StopArea:0125448501,NSR:Quay:220
OST:StopArea:0125448502,NSR:Quay:221
OST:StopArea:0128439501,NSR:Quay:222
OST:StopArea:0128439502,NSR:Quay:223
OST:StopArea:0128714501,NSR:Quay:224
OST:StopArea:0128714502,NSR:Quay:225
OST:StopArea:0128790501,NSR:Quay:226
OST:StopArea:0128716001,NSR:Quay:227
OST:StopArea:0128716002,NSR:Quay:228
OST:StopArea:0128800501,NSR:Quay:229
OST:StopArea:0128800502,NSR:Quay:230
