FJE,007600205
LVK,007601519
STB,007601405
ØKP,007622224
STA,007600919
BRS,007602218
DVT,007601357
RØ,007601310
STH,007602336
RAU,007600622
STG,007600708
BRY,007602223
STJ,007601300
GLO,007602319
STK,007601314
TVL,007601389
STN,007600206
STO,007602183
SDA,007610206
STV,007602234
JØR,007601320
BST,007601410
HOI,007601115
RBU,007600734
HOK,007601605
EIK,007601521
MYS,007600536
RSH,007620503
MYR,007602324
EIN,007600620
MYV,007600505
RST,007600539
SEG,007601366
KVA,007600740
ARN,007602342
KVG,007600318
VKS,007601612
KVL,007601103
MJD,007601603
SVI,007610303
SVN,007611125
BO,007601388
BR,007600200
LHM,007600725
VÆR,007601299
SFJ,007601514
BUL,007602331
ASM,007600533
ASR,007601413
SV,007601408
GJÅ,007612329
BEG,007611307
GOL,007602315
SY,007600609
LYS,007601404
HAB,007610204
TYN,007600928
ÅL,007602317
LIE,007611419
GOS,007601008
JEH,007600212
BER,007602359
HAG,007600309
STØ,007601114
HAL,007602323
HAK,007600608
ÅS,007600510
HAN,007600923
REI,007601011
HAR,007601335
GJØ,007600626
REN,007600914
ATN,007600922
SGN,007601305
HAU,007602321
SGR,007602332
PAR,007602233
LJA,007600502
OPD,007601107
LJB,007632325
OPH,007600916
OPG,007600506
DL,007602335
RVO,007600621
ELV,007600909
NNN,
AUD,007602180
VNL,007602124
MLV,007600720
AUL,007610308
HSD,007601505
AUM,007600927
RFS,007600308
HSR,007600213
HST,007600610
HSS,007600729
SKØ,007601402
GAN,007602225
GRA,007600615
RGN,007601020
GAR,007600220
SIN,007601017
GAU,007602228
GRE,007600601
VOS,007602330
GRG,007601325
SIR,007602203
HTO,007600503
LLE,007601015
GRO,007600202
KJF,007622358
BÅK,007601110
FM,007602361
KJE,007600603
LØN,007601376
GRU,007600612
NBØ,007602221
LLS,007600207
HDN,007601014
LØR,007600204
KJS,007601520
LØT,007600907
RYG,007600518
MOI,007602204
SKA,007600315
OSL,007600100
HEG,007601414
HEI,007600538
HEL,007601208
KVÅ,007601118
LMO,007601116
MOS,007600516
SKI,007600508
HVA,007601411
SKK,007601512
SKN,007601815
FRE,007600522
HEV,007602214
RÅD,007600519
VAD,007602337
SKP,007601507
SKS,007601125
FAU,007601385
YGH,007602329
BJE,007601361
HVK,007601406
OTA,007600743
BJF,
SKV,007601301
VAL,007601386
VAK,007611411
FRO,007600209
ÅND,007600810
LND,007612360
BJO,007600805
VAR,007610607
SLB,007601123
HÅR,007602360
TND,007601126
RØK,007601380
SLE,007601409
KLP,007602224
VRN,007612325
HFS,007601617
KLV,007612328
GUD,007610505
UPS,007602325
RØY,007601415
SLU,007600534
GUL,007601600
DOM,007600747
HGA,007610202
NBY,007610212
NSK,007601341
DOV,007600746
VBY,007600511
NST,007600501
TOL,007601002
TOM,007600530
TOR,
MAJ,007601344
BLE,007600617
BLH,007642358
KNA,007600531
NTD,007601806
BLK,007600307
NTH,007600180
BLO,007601407
HØB,007600203
RLA,007601304
URD,007602328
SNA,007602181
SND,007601502
EBE,
FLÅ,007602307
EBG,007600537
MRO,007602232
VTH,007602358
NTR,007601813
SNI,007610604
HØN,007601412
NDL,007602175
SNV,007600915
VDL,007601308
ØBG,007622325
MSK,
BMO,007600925
MSJ,007601352
KOL,007600504
KOP,007600920
RMG,007602327
DAL,007600214
KOT,007601019
SOL,007610504
SON,007610512
DAR,007601628
FET,007600303
NEL,007602113
KLØ,007600211
MØR,007601387
ALA,007610200
DRD,007602103
OGN,007602217
UST,007602320
LAN,007600507
NER,007600301
NES,007602313
DRM,007601421
ÅLN,007601012
TAN,007600706
GHA,007621413
LRK,007601127
SPB,007601311
ÅRN,007600311
VEV,007610506
TRD,007602339
LU,007600614
ALV,007600926
SPG,007600532
HJN,007601102
NVT,007602105
SPI,007601416
SPL,007612327
LBG,007600210
TRO,007601348
ILS,007600904
MDL,007602178
BOD,007600310
RNU,007612358
TBG,007601510
TRY,007621807
GYL,007602184
SNÅ,007601321
LSD,007600208
BOL,007602334
BON,007611413
MO,
SØR,007600305
VFS,007601627
SØS,
ÅBY,007600607
ROA,007600613
LSM,007601337
ROG,007601382
LSV,007600803
ÅSE,007601303
ROM,
EVE,007600918
KAM,007600513
ROT,007611201
VGH,007602110
EVG,007602333
ROS,007601006
EVL,007600216
NGU,007601810
NK,
KAT,
HLD,007600546
GJE,007602107
EVV,007600222
SAS,007612226
MVT,007600605
JÅT,007602230
KRS,007602130
MFJ,007602326
KBG,007601631
LDM,007601200
VHG,007602220
NYD,007610601
SBG,007601604
TØY,007600600
DUN,007601370
HMA,007610503
HMD,007601122
NYL,007610201
SBO,007600527
VHR,
ØFL,007622327
SVÅ,007602216
LUN,007602005
OS,007601004
SSE,007602226
TUE,007610300
SBU,007600529
LEA,007601201
FIN,007602322
KRÅ,007600528
HMR,007600711
BRA,007601419
EGS,007602212
HMV,007601207
OKL,007601522
BRD,007600716
VIG,007602219
BRG,007602351
BØ,007602002
PG,007601821
LER,007601117
NIT,007600606
JAR,007600616
VIN,007600739
LES,007600801
LEV,007601306
BRL,007602176
